ticker,name,instrument_type,asset_class,currency,exchange
AAPL,Apple Inc.,STOCK,ACTIONS,USD,NASDAQ
MSFT,Microsoft Corporation,STOCK,ACTIONS,USD,NASDAQ
NVDA,NVIDIA Corporation,STOCK,ACTIONS,USD,NASDAQ
JNJ,Johnson & Johnson,STOCK,ACTIONS,USD,NYSE
JPM,JPMorgan Chase & Co.,STOCK,ACTIONS,USD,NYSE
MC.PA,LVMH Moet Hennessy Louis Vuitton,STOCK,ACTIONS,EUR,EURONEXT_PARIS
TTE.PA,TotalEnergies SE,STOCK,ACTIONS,EUR,EURONEXT_PARIS
SAN.PA,Sanofi S.A.,STOCK,ACTIONS,EUR,EURONEXT_PARIS
ASML.AS,ASML Holding N.V.,STOCK,ACTIONS,EUR,EURONEXT_AMSTERDAM
SAP.DE,SAP SE,STOCK,ACTIONS,EUR,XETRA
SPY,SPDR S&P 500 ETF Trust,ETF,ACTIONS,USD,NYSEARCA
QQQ,Invesco QQQ Trust,ETF,ACTIONS,USD,NASDAQ
IWDA.AS,iShares Core MSCI World UCITS ETF,ETF,ACTIONS,EUR,EURONEXT_AMSTERDAM
AGG,iShares Core U.S. Aggregate Bond ETF,ETF,OBLIGATIONS,USD,NYSEARCA
TLT,iShares 20+ Year Treasury Bond ETF,ETF,OBLIGATIONS,USD,NASDAQ
BND,Vanguard Total Bond Market ETF,ETF,OBLIGATIONS,USD,NASDAQ
GLD,SPDR Gold Shares,ETF,MATIERES_PREMIERES,USD,NYSEARCA
VNQ,Vanguard Real Estate ETF,ETF,IMMOBILIER,USD,NYSEARCA
