position_id,client_id,ticker,quantity,purchase_price,purchase_date,currency
POS-00001,CLI-1000,TLT,591.4954,82.7894,2024-02-22,USD
POS-00002,CLI-1000,NVDA,213.1263,108.6818,2024-09-09,USD
POS-00003,CLI-1000,IWDA.AS,93.3029,107.2087,2025-02-18,EUR
POS-00004,CLI-1000,AAPL,103.9118,241.407,2025-01-07,USD
POS-00005,CLI-1000,QQQ,47.5377,425.8253,2024-04-18,USD
POS-00006,CLI-1000,AGG,618.7866,89.1537,2024-03-01,USD
POS-00007,CLI-1000,ASML.AS,41.8232,907.1139,2024-04-16,EUR
POS-00008,CLI-1000,SPY,41.7347,723.4014,2026-06-05,USD
POS-00009,CLI-1001,BND,68.9031,71.9092,2026-01-01,USD
POS-00010,CLI-1001,BND,837.3407,72.959,2026-08-09,USD
POS-00011,CLI-1001,SAN.PA,501.4284,77.3413,2026-01-16,EUR
POS-00012,CLI-1001,BND,303.6272,71.6608,2025-11-16,USD
POS-00013,CLI-1001,BND,250.5766,71.4966,2026-08-14,USD
POS-00014,CLI-1001,GLD,80.6594,408.0038,2026-08-13,USD
POS-00015,CLI-1001,TLT,547.7907,84.1741,2026-04-26,USD
POS-00016,CLI-1001,IWDA.AS,479.942,128.3231,2026-08-05,EUR
POS-00017,CLI-1001,BND,531.3854,71.505,2025-12-28,USD
POS-00018,CLI-1001,TTE.PA,433.7968,54.7071,2026-01-13,EUR
POS-00019,CLI-1001,MSFT,86.732,479.8554,2025-12-12,USD
POS-00020,CLI-1002,TLT,182.4371,81.579,2025-04-17,USD
POS-00021,CLI-1002,TLT,108.822,83.3751,2025-06-21,USD
POS-00022,CLI-1002,AAPL,14.8679,272.0694,2025-12-11,USD
POS-00023,CLI-1002,SPY,9.1506,764.0489,2026-08-08,USD
POS-00024,CLI-1002,VNQ,166.4688,86.089,2025-03-29,USD
POS-00025,CLI-1002,TTE.PA,101.1241,70.4851,2026-06-20,EUR
POS-00026,CLI-1002,SAN.PA,60.5975,73.7348,2024-04-24,EUR
POS-00027,CLI-1002,AAPL,29.9714,296.4993,2026-05-13,USD
POS-00028,CLI-1002,BND,107.1046,73.1015,2026-04-02,USD
POS-00029,CLI-1002,ASML.AS,9.1033,1452.8205,2026-09-07,EUR
POS-00030,CLI-1002,AGG,113.2633,97.7901,2025-10-02,USD
POS-00031,CLI-1002,BND,92.2241,73.0365,2026-05-30,USD
POS-00032,CLI-1003,AGG,33.9308,97.8755,2026-01-08,USD
POS-00033,CLI-1003,SAN.PA,651.9318,77.7587,2024-03-23,EUR
POS-00034,CLI-1003,GLD,111.1692,324.9498,2025-09-02,USD
POS-00035,CLI-1003,MC.PA,109.635,635.7067,2025-12-01,EUR
POS-00036,CLI-1003,JPM,103.0568,173.0558,2024-04-13,USD
POS-00037,CLI-1003,JPM,83.704,353.7538,2026-08-19,USD
POS-00038,CLI-1003,SAN.PA,432.2218,77.9665,2026-02-11,EUR
POS-00039,CLI-1003,QQQ,36.3648,564.5139,2025-07-21,USD
POS-00040,CLI-1003,AGG,166.4544,97.0192,2026-07-17,USD
POS-00041,CLI-1003,MC.PA,107.9833,484.3759,2025-07-27,EUR
POS-00042,CLI-1004,IWDA.AS,505.2607,111.2905,2026-02-09,EUR
POS-00043,CLI-1004,SAN.PA,704.0624,78.9032,2026-04-10,EUR
POS-00044,CLI-1004,ASML.AS,7.7483,1529.7957,2026-08-26,EUR
POS-00045,CLI-1004,TTE.PA,258.8257,72.7983,2026-04-19,EUR
POS-00046,CLI-1004,QQQ,52.0243,707.1578,2026-07-21,USD
POS-00047,CLI-1004,TTE.PA,1582.2055,55.8698,2026-01-16,EUR
POS-00048,CLI-1004,SPY,85.4963,663.7985,2026-04-06,USD
POS-00049,CLI-1004,SPY,49.8231,743.1535,2026-07-27,USD
POS-00050,CLI-1004,SPY,99.8859,670.9467,2025-11-15,USD
POS-00051,CLI-1005,QQQ,24.3539,708.4975,2026-09-05,USD
POS-00052,CLI-1005,AGG,410.4161,98.725,2026-07-26,USD
POS-00053,CLI-1005,ASML.AS,67.1453,1186.1266,2026-01-18,EUR
POS-00054,CLI-1005,GLD,211.9593,382.8066,2026-07-27,USD
POS-00055,CLI-1005,GLD,117.3172,415.5179,2026-03-27,USD
POS-00056,CLI-1005,AAPL,218.6928,258.9876,2026-04-07,USD
POS-00057,CLI-1005,QQQ,125.8732,598.0639,2026-01-20,USD
POS-00058,CLI-1005,JNJ,137.6378,262.5633,2026-08-13,USD
POS-00059,CLI-1006,AGG,222.3002,97.1963,2026-03-01,USD
POS-00060,CLI-1006,BND,304.3442,71.6633,2026-06-09,USD
POS-00061,CLI-1006,TLT,176.3055,83.7059,2026-05-26,USD
POS-00062,CLI-1006,MSFT,63.829,500.0833,2026-09-07,USD
POS-00063,CLI-1006,QQQ,45.6818,665.6972,2026-04-28,USD
POS-00064,CLI-1006,AGG,407.8367,97.4144,2026-04-12,USD
POS-00065,CLI-1006,AGG,206.5185,98.5528,2026-06-14,USD
POS-00066,CLI-1007,TLT,776.7693,81.3651,2025-01-03,USD
POS-00067,CLI-1007,SAP.DE,92.4717,172.0436,2026-02-22,EUR
POS-00068,CLI-1007,AGG,494.2736,95.2953,2026-06-07,USD
POS-00069,CLI-1007,TLT,178.8899,85.2168,2026-04-23,USD
POS-00070,CLI-1007,BND,1608.6845,70.5995,2025-03-30,USD
POS-00071,CLI-1007,VNQ,347.9896,85.5662,2025-03-29,USD
POS-00072,CLI-1007,BND,201.5688,71.535,2026-08-05,USD
POS-00073,CLI-1007,TLT,317.4716,87.1411,2025-10-20,USD
POS-00074,CLI-1007,AGG,469.8037,100.661,2026-02-13,USD
POS-00075,CLI-1007,BND,855.2594,65.6284,2025-04-13,USD
POS-00076,CLI-1007,AGG,855.2758,100.8355,2025-10-15,USD
POS-00077,CLI-1007,VNQ,296.5967,85.1851,2025-06-16,USD
POS-00078,CLI-1007,BND,903.0068,71.9956,2025-11-30,USD
POS-00079,CLI-1007,AGG,102.4983,92.9425,2025-04-27,USD
POS-00080,CLI-1008,MSFT,41.7718,455.8973,2026-07-30,USD
POS-00081,CLI-1008,AGG,220.7134,100.9511,2026-01-24,USD
POS-00082,CLI-1008,AGG,108.5453,97.731,2025-12-23,USD
POS-00083,CLI-1008,VNQ,324.4797,95.536,2026-05-10,USD
POS-00084,CLI-1008,ASML.AS,24.226,1167.8938,2026-04-06,EUR
POS-00085,CLI-1008,IWDA.AS,158.2182,126.4434,2026-09-06,EUR
POS-00086,CLI-1008,JNJ,99.4031,249.9064,2026-07-19,USD
POS-00087,CLI-1008,JNJ,77.7325,253.8811,2026-07-11,USD
POS-00088,CLI-1008,VNQ,64.0134,90.7955,2026-01-23,USD
POS-00089,CLI-1008,TLT,405.4895,84.6019,2026-04-03,USD
POS-00090,CLI-1008,ASML.AS,1.1611,1594.9707,2026-07-09,EUR
POS-00091,CLI-1008,TTE.PA,558.3494,53.882,2026-01-14,EUR
POS-00092,CLI-1009,NVDA,209.4558,185.208,2026-01-17,USD
POS-00093,CLI-1009,JNJ,205.315,213.9453,2026-05-11,USD
POS-00094,CLI-1009,MC.PA,49.9802,457.5287,2026-04-27,EUR
POS-00095,CLI-1009,TTE.PA,839.5087,76.3098,2026-08-01,EUR
POS-00096,CLI-1009,NVDA,389.9122,170.9305,2026-04-02,USD
POS-00097,CLI-1009,QQQ,95.1278,700.6142,2026-05-09,USD
POS-00098,CLI-1010,GLD,40.3053,297.239,2025-07-28,USD
POS-00099,CLI-1010,JPM,828.6668,249.4282,2025-01-19,USD
POS-00100,CLI-1010,TLT,227.6693,86.1636,2026-03-24,USD
POS-00101,CLI-1010,AGG,1803.6338,99.5489,2026-04-02,USD
POS-00102,CLI-1010,MSFT,354.434,397.6525,2026-07-03,USD
POS-00103,CLI-1010,JNJ,330.3172,155.4666,2025-03-25,USD
POS-00104,CLI-1010,ASML.AS,68.9227,1188.9985,2026-03-05,EUR
POS-00105,CLI-1010,GLD,490.1939,410.0971,2026-05-05,USD
POS-00106,CLI-1010,TTE.PA,3384.3407,50.828,2025-06-18,EUR
