client_id,asset_class,target_weight_pct
CLI-1000,ACTIONS,81.3
CLI-1000,OBLIGATIONS,3.63
CLI-1000,MATIERES_PREMIERES,10.62
CLI-1000,IMMOBILIER,4.45
CLI-1001,ACTIONS,44.99
CLI-1001,OBLIGATIONS,40.0
CLI-1001,MATIERES_PREMIERES,4.64
CLI-1001,IMMOBILIER,10.37
CLI-1002,ACTIONS,64.35
CLI-1002,OBLIGATIONS,21.7
CLI-1002,MATIERES_PREMIERES,5.62
CLI-1002,IMMOBILIER,8.33
CLI-1003,ACTIONS,66.66
CLI-1003,OBLIGATIONS,19.01
CLI-1003,MATIERES_PREMIERES,8.34
CLI-1003,IMMOBILIER,5.99
CLI-1004,ACTIONS,84.6
CLI-1004,OBLIGATIONS,4.03
CLI-1004,MATIERES_PREMIERES,4.61
CLI-1004,IMMOBILIER,6.76
CLI-1005,ACTIONS,62.71
CLI-1005,OBLIGATIONS,19.76
CLI-1005,MATIERES_PREMIERES,8.32
CLI-1005,IMMOBILIER,9.21
CLI-1006,ACTIONS,46.9
CLI-1006,OBLIGATIONS,39.63
CLI-1006,MATIERES_PREMIERES,5.72
CLI-1006,IMMOBILIER,7.75
CLI-1007,ACTIONS,17.86
CLI-1007,OBLIGATIONS,72.53
CLI-1007,MATIERES_PREMIERES,4.82
CLI-1007,IMMOBILIER,4.79
CLI-1008,ACTIONS,65.39
CLI-1008,OBLIGATIONS,17.07
CLI-1008,MATIERES_PREMIERES,5.79
CLI-1008,IMMOBILIER,11.75
CLI-1009,ACTIONS,65.41
CLI-1009,OBLIGATIONS,22.73
CLI-1009,MATIERES_PREMIERES,4.3
CLI-1009,IMMOBILIER,7.56
CLI-1010,ACTIONS,18.35
CLI-1010,OBLIGATIONS,68.44
CLI-1010,MATIERES_PREMIERES,11.26
CLI-1010,IMMOBILIER,1.95
CLI-1011,ACTIONS,86.56
CLI-1011,OBLIGATIONS,5.94
CLI-1011,MATIERES_PREMIERES,6.46
CLI-1011,IMMOBILIER,1.04
CLI-1012,ACTIONS,82.72
CLI-1012,OBLIGATIONS,3.43
CLI-1012,MATIERES_PREMIERES,8.75
CLI-1012,IMMOBILIER,5.1
CLI-1013,ACTIONS,24.43
CLI-1013,OBLIGATIONS,63.3
CLI-1013,MATIERES_PREMIERES,4.85
CLI-1013,IMMOBILIER,7.42
CLI-1014,ACTIONS,42.16
CLI-1014,OBLIGATIONS,40.69
CLI-1014,MATIERES_PREMIERES,8.78
CLI-1014,IMMOBILIER,8.37
CLI-1015,ACTIONS,51.38
CLI-1015,OBLIGATIONS,37.9
CLI-1015,MATIERES_PREMIERES,5.29
CLI-1015,IMMOBILIER,5.43
CLI-1016,ACTIONS,84.14
CLI-1016,OBLIGATIONS,1.04
CLI-1016,MATIERES_PREMIERES,10.31
CLI-1016,IMMOBILIER,4.51
CLI-1017,ACTIONS,42.29
CLI-1017,OBLIGATIONS,38.49
CLI-1017,MATIERES_PREMIERES,8.27
CLI-1017,IMMOBILIER,10.95
CLI-1018,ACTIONS,23.0
CLI-1018,OBLIGATIONS,65.25
CLI-1018,MATIERES_PREMIERES,8.18
CLI-1018,IMMOBILIER,3.57
CLI-1019,ACTIONS,64.6
CLI-1019,OBLIGATIONS,22.93
CLI-1019,MATIERES_PREMIERES,5.03
CLI-1019,IMMOBILIER,7.44
CLI-1020,ACTIONS,62.28
CLI-1020,OBLIGATIONS,19.31
CLI-1020,MATIERES_PREMIERES,10.06
CLI-1020,IMMOBILIER,8.35
